"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pkib",-0.18179352380952,6.18973015384615,-0.835483184741253,0.418209640115698,0.740087150279739,-5.86334842765791
"Nlrp14",-0.0761023809523795,4.53151653846154,-0.835447413483585,0.418229070334716,0.740087150279739,-5.86337770065448
"Cpa3",0.325019142857145,7.62458169230769,0.835433392212717,0.418236686565473,0.740087150279739,-5.86338917449355
"Tchhl1",-0.096443261904759,6.71880615384615,-0.835339344493196,0.418287774813728,0.740087150279739,-5.86346613084541
"Mir181d",-0.105370095238094,7.81167907692308,-0.835306067705692,0.418305852287108,0.740087150279739,-5.86349335835602
"Dgkk",-0.433409119047615,6.22330930769231,-0.835229758475793,0.418347308890274,0.740087150279739,-5.8635557919137
"Smok2b",-0.0650541190476188,4.88956630769231,-0.835214869201547,0.418355398118176,0.740087150279739,-5.86356797320402
"Rc3h2",-0.106990928571427,9.469619,-0.83490332514913,0.41852468117184,0.740189834083089,-5.86382281060243
"Osgin2",0.145529666666671,7.72781653846154,0.834779408044595,0.418592026261985,0.740189834083089,-5.86392414886545
"Lyst",0.143967333333336,8.84300846153846,0.834720798991655,0.418623880937775,0.740189834083089,-5.86397207411125
"Ctdsp1",0.0947591190476231,10.0745546923077,0.834699011666833,0.41863572299846,0.740189834083089,-5.86398988906947
"Med30",0.078466095238098,6.75518569230769,0.834685525826679,0.418643053064944,0.740189834083089,-5.86400091589957
"Mcee",-0.084622380952375,11.2737092307692,-0.834602320588657,0.418688280137536,0.740189834083089,-5.86406894595047
"Syngap1",-0.0870096666666633,10.0004096923077,-0.834596619771121,0.418691378993669,0.740189834083089,-5.86407360681561
"Slc66a1",-0.143910214285712,7.53720561538462,-0.834586718822057,0.418696760997324,0.740189834083089,-5.86408170154964
"Cplx1",-0.095821666666664,6.72406461538462,-0.834493131107569,0.418747636084334,0.740189834083089,-5.86415821194809
"Gtf2h1",0.0625687380952407,8.59601330769231,0.834469359983443,0.418760558918514,0.740189834083089,-5.8641776442375
"Rgs4",0.213907571428574,7.314648,0.834273597033846,0.418866992626723,0.740238927522603,-5.86433765660106
"Btnl4",-0.0871781190476169,6.15261923076923,-0.834204516297723,0.418904555142673,0.740238927522603,-5.86439411365446
"Celf6",-0.0805137142857104,6.04576853846154,-0.834197845294352,0.418908182604891,0.740238927522603,-5.86439956538944
"Pde8a",-0.14081897619047,8.79261676923077,-0.8340463361101,0.418990573642552,0.740238927522603,-5.86452337251002
"Or4k6",-0.120577166666665,4.916089,-0.833937569235643,0.419049727875391,0.740238927522603,-5.86461223992886
"Fgf18",0.121099428571433,8.00292461538462,0.833813960567181,0.41911696066047,0.740238927522603,-5.86471322114614
"Abhd17b",-0.10891333333333,8.32633330769231,-0.833779919341913,0.419135477485558,0.740238927522603,-5.86474102852483
"Gab3",0.136193857142862,6.91877684615385,0.833742505171726,0.419155829653475,0.740238927522603,-5.86477158999916
"Ermn",-0.0677424999999987,4.33994723076923,-0.833730304028613,0.419162466843616,0.740238927522603,-5.86478155614229
"Ppm1n",-0.0905704047619036,5.69967184615385,-0.833727331708421,0.419164083739803,0.740238927522603,-5.86478398397438
"Ark2n",0.0788396666666689,7.47883253846154,0.833665407946127,0.419197770239358,0.740238927522603,-5.86483456239189
"Alg13",0.100696619047621,5.60489307692308,0.8336523020765,0.419204900054537,0.740238927522603,-5.86484526664143
